AptID;RwyID;ACCat;AppTyp;RwyDir;DH;RVR;AppClassification;AppGuidance;AppSystemMinima;AppPrecisionTyp
LTAC;03C ;C;CAT3B;30;0;75;Type B;3D;0;PA
LTAC;03C ;D;CAT3B;30;0;75;Type B;3D;0;PA
LTAC;03C ;C;CAT3A;30;50;200;Type B;3D;0;PA
LTAC;03C ;D;CAT3A;30;50;200;Type B;3D;0;PA
LTAC;03C ;D;CAT2 ;30;141;450;Type B;3D;0;PA
LTAC;03C ;C;CAT2 ;30;141;450;Type B;3D;0;PA
LTAC;03C ;C;ALTN ;30;150;525;NULL;NULL;NULL;NULL
LTAC;03C ;D;ALTN ;30;150;525;NULL;NULL;NULL;NULL
LTAC;03C ;C;ILSV ;30;221;550;Type B;3D;0;PA
LTAC;03C ;C;ILSY ;30;221;550;Type B;3D;0;PA
LTAC;03C ;D;ILSV ;30;221;550;Type B;3D;0;PA
LTAC;03C ;D;ILSY ;30;221;550;Type B;3D;0;PA
LTAC;03C ;D;LOCV ;30;761;2400;Type A;2D;1;NPA
LTAC;03C ;D;LOCY ;30;761;2400;Type A;2D;1;NPA
LTAC;03C ;D;NDBZ ;30;761;2400;Type A;2D;3;NPA
LTAC;03C ;D;VORZ ;30;761;2400;Type A;2D;2;NPA
LTAC;03C ;C;LOCV ;30;761;2400;Type A;2D;1;NPA
LTAC;03C ;C;LOCY ;30;761;2400;Type A;2D;1;NPA
LTAC;03C ;C;NDBZ ;30;761;2400;Type A;2D;3;NPA
LTAC;03C ;C;VORZ ;30;761;2400;Type A;2D;2;NPA
LTAC;03C ;C;CIRC ;30;1492;2400;Type A;2D;4;NPA
LTAC;03C ;D;CIRC ;30;1492;3600;Type A;2D;4;NPA
LTAC;03L ;C;CAT2 ;30;136;400;Type B;3D;0;PA
LTAC;03L ;D;CAT2 ;30;136;400;Type B;3D;0;PA
LTAC;03L ;C;ILSX ;30;226;550;Type B;3D;0;PA
LTAC;03L ;C;ILSY ;30;226;550;Type B;3D;0;PA
LTAC;03L ;D;ILSX ;30;226;550;Type B;3D;0;PA
LTAC;03L ;D;ILSY ;30;226;550;Type B;3D;0;PA
LTAC;03L ;C;ALTN ;30;236;700;NULL;NULL;NULL;NULL
LTAC;03L ;D;ALTN ;30;236;700;NULL;NULL;NULL;NULL
LTAC;03L ;D;LOCX ;31;706;2400;Type A;2D;1;NPA
LTAC;03L ;D;LOCY ;31;706;2400;Type A;2D;1;NPA
LTAC;03L ;C;LOCX ;31;706;2400;Type A;2D;1;NPA
LTAC;03L ;C;LOCY ;31;706;2400;Type A;2D;1;NPA
LTAC;03L ;C;NDBZ ;31;756;2400;Type A;2D;3;NPA
LTAC;03L ;C;VORZ ;31;756;2400;Type A;2D;2;NPA
LTAC;03L ;D;NDBZ ;31;756;2400;Type A;2D;3;NPA
LTAC;03L ;D;VORZ ;31;756;2400;Type A;2D;2;NPA
LTAC;03L ;C;CIRC ;30;1492;2400;Type A;2D;4;NPA
LTAC;03L ;D;CIRC ;30;1492;3600;Type A;2D;4;NPA
LTAC;03R ;C;CAT2 ;30;125;400;Type B;3D;0;PA
LTAC;03R ;D;CAT2 ;30;125;400;Type B;3D;0;PA
LTAC;03R ;D;ALTN ;30;225;700;NULL;NULL;NULL;NULL
LTAC;03R ;C;ALTN ;30;225;700;NULL;NULL;NULL;NULL
LTAC;03R ;C;ILSW ;30;372;1000;Type A;3D;0;PA
LTAC;03R ;D;ILSW ;30;372;1000;Type A;3D;0;PA
